Name,CompanyId,ParentCompanyId,AggregateId
The Club at Autumn Ridge,100377,100376,1|100376|100377
The Lofts at Garwood,100378,101103,1|100376|101103|100378
The Lofts at Garwood II,100379,101103,1|100376|101103|100379
Water s Edge,138327,100376,1|100376|138327
The Monarch,138328,100376,1|100376|138328
BT Properties,100639,1,1|100639
611 Wessex Ave,100640,100639,1|100639|100640
438 Gabilan,100644,100639,1|100639|100644
851 Fremont ,100645,100639,1|100639|100645
140 Town Terrace,100647,100639,1|100639|100647
844 Park,100650,100639,1|100639|100650
2336 California St,100651,100639,1|100639|100651
4309 Collins Sourt,100652,100639,1|100639|100652
4318  Collins Court,100653,100639,1|100639|100653
1112 1134 Boranda,100654,100639,1|100639|100654
2354 California St,100655,100639,1|100639|100655
1776 California St,100656,100639,1|100639|100656
1800 California St,100657,100639,1|100639|100657
1815 27 Latham St,100658,100639,1|100639|100658
1860 1870 Ednamary Way,100660,100639,1|100639|100660
1825 Ednamary Way,100661,100639,1|100639|100661
1035 Williams Way,100663,100639,1|100639|100663
357 View Street,100664,100639,1|100639|100664
655 Mariposa Ave,100665,100639,1|100639|100665
1425 Snow St,100666,100639,1|100639|100666
490 Easy St   MV,100668,100639,1|100639|100668
511 Walker Dr  MV,100669,100639,1|100639|100669
527 Walker Dr  MV,100670,100639,1|100639|100670
678 690 Victor Way,100671,100639,1|100639|100671
760 Palo Alto Av  MV,100672,100639,1|100639|100672
776 Palo Altos Ave  MV,100673,100639,1|100639|100673
1047 Rich  MV,100674,100639,1|100639|100674
1300 Montecito Ave,100675,100639,1|100639|100675
444 Ventura Ave,100677,100639,1|100639|100677
740 748 Sutter Ave,100678,100639,1|100639|100678
164 168 Middlefield Rd,100680,100639,1|100639|100680
539 543 Homer,100681,100639,1|100639|100681
2591 2599 Alma St,100682,100639,1|100639|100682
2145 Williams,100683,100639,1|100639|100683
Webster Channing Avenue,100684,100639,1|100639|100684
1410 Jefferson,100687,100639,1|100639|100687
690 Leahy,100692,100639,1|100639|100692
601 Middle Street,100694,100639,1|100639|100694
1500 Laurel St,100695,100639,1|100639|100695
435 Walnut Ave,100696,100639,1|100639|100696
323 Torino Way,100697,100639,1|100639|100697
2030 2038 Clarmar Way,100700,100639,1|100639|100700
1978 Bellomy,100711,100639,1|100639|100711
1371 91 Via Dondera,100714,100639,1|100639|100714
3716 3726 Poinciana Dr,100717,100639,1|100639|100717
3736 3746 Poinciana Dr,100718,100639,1|100639|100718
1389 Reeve St,100719,100639,1|100639|100719
76 86 Monroe  SC,100721,100639,1|100639|100721
825 Kiely Blvd,100723,100639,1|100639|100723
763 San Justo,100725,100639,1|100639|100725
126 Ahwanee  SV,100727,100639,1|100639|100727
1233 W  McKinley,100730,100639,1|100639|100730
167 Acalanes,100731,100639,1|100639|100731
175 Acalanes,100732,100639,1|100639|100732
934   940 Tamarack,100735,100639,1|100639|100735
642 Blythe Court,100737,100639,1|100639|100737
1972 Bellomy,104715,100639,1|100639|104715
1962 Bellomy,104716,100639,1|100639|104716
645 Nido,104717,100639,1|100639|104717
740 Palo Alto,104718,100639,1|100639|104718
715 Pettis,104719,100639,1|100639|104719
1161 Harrison,104721,100639,1|100639|104721
48 Birch Street,108824,100639,1|100639|108824
1240 W Washington Ave,108825,100639,1|100639|108825
1906 Rock St,108826,100639,1|100639|108826
659 Kirkland Dr,108828,100639,1|100639|108828
229 Polaris Ave,108829,100639,1|100639|108829
2729 Byron St,108830,100639,1|100639|108830
330 Ventura,110426,100639,1|100639|110426
1945 51 Latham St,111395,100639,1|100639|111395
1617   1621 Sixth Avenue,115395,100639,1|100639|115395
1457 75 Santa Clara St,116202,100639,1|100639|116202
2371 Sutter Ave,116203,100639,1|100639|116203
470 California St,116204,100639,1|100639|116204
1201 1225 San Carlos,118681,100639,1|100639|118681
The Villages ,124328,100639,1|100639|124328
734 Webster Street ,128254,100639,1|100639|128254
2480 Karen Drive,128255,100639,1|100639|128255
875 Woodside Road,128285,100639,1|100639|128285
4217 McKellar Lane,128286,100639,1|100639|128286
438 Ventura Avenue,130944,100639,1|100639|130944
1201 Laurel,131895,100639,1|100639|131895
990 Laurel,131896,100639,1|100639|131896
Red Branch  Roberts Road,131897,100639,1|100639|131897
901 Granada Street ,133780,100639,1|100639|133780
37 Sherland Drive,137762,100639,1|100639|137762
616   630 S 8th Street,137763,100639,1|100639|137763
1654 1660 Hollenbeck Avenue,138601,100639,1|100639|138601
95 N 8th Street,138602,100639,1|100639|138602
19 E 41st Place,142536,100639,1|100639|142536
Ashland Towne Square,100760,100758,1|100758|100760
Charter Creek Apartments,100761,100758,1|100758|100761
Cross Creek Apartments,100762,100758,1|100758|100762
Garden Springs Apartments,100763,100758,1|100758|100763
The Overlook at Stonemill,100766,100758,1|100758|100766
The Park at Salisbury,100767,100758,1|100758|100767
Woodmere Apartments,100768,100758,1|100758|100768
Mill Trace Village Units 7125 through 7176,100764,106722,1|100758|106722|100764
Mill Trace Village Units 7180 through 7210,100765,106722,1|100758|106722|100765
Franklin Street Condos,101030,101011,1|101011|101030
C O The Management Company,101499,1,1|101499
OAKLEDGE HEIGHTS CO OP,101652,101499,1|101499|101652
CENTRAL PLAZA CONDOMINIUM,104564,101499,1|101499|104564
289 ON THE ESSEX CONDOMINIUM TRUST,104570,101499,1|101499|104570
WEST BEACH CONDOMINIUM TRUST,104571,101499,1|101499|104571
BAYSIDE CONDOMINIUM DANVERSPORT TRUST,106332,101499,1|101499|106332
DUNHAM CASTLE CONDOMINIUM TRUST,106335,101499,1|101499|106335
Lewis House Condominium Trust,106981,101499,1|101499|106981
Churchill at Longview,101817,101573,1|101573|101817
Churchill at Pinnacle Park,101818,101573,1|101573|101818
Churchill at Commerce,101819,101573,1|101573|101819
Evergreen at Mesquite,101820,101573,1|101573|101820
Evergreen at Plano,101821,101573,1|101573|101821
Evergreen at Lewisville,101822,101573,1|101573|101822
Evergreen at Keller,101823,101573,1|101573|101823
Evergreen at Longview,101824,101573,1|101573|101824
Evergreen at Hulen Bend,101825,101573,1|101573|101825
Evergreen at Rockwall,101826,101573,1|101573|101826
Evergreen at Farmers Branch,101827,101573,1|101573|101827
Evergreen at Morningstar,101828,101573,1|101573|101828
Evergreen at Vista Ridge,101829,101573,1|101573|101829
Evergreen at Richardson,101830,101573,1|101573|101830
Churchill Estates at Lake Highlands,101831,101573,1|101573|101831
501 East 87th Street Realty Co LLC,101576,101575,1|101575|101576
One East River Place Realty Co LLC,101577,101575,1|101575|101577
265 E 66   Townhouse Co LLC,101578,101575,1|101575|101578
Solow Townhouse Co LLC,101579,101575,1|101575|101579
60th Street Development LLC,101580,101575,1|101575|101580
1113 York Avenue Realty Company LLC,142593,101575,1|101575|142593
The Hamilton Apartments,101889,101888,1|101888|101889
DeNova Homes,102168,1,1|102168
Chico House,119058,102168,1|102168|119058
5025 Mozart Dr,125780,125778,1|102168|125778|125780
5029 Mozart Dr,125782,125778,1|102168|125778|125782
5031 Mozart Dr,125783,125778,1|102168|125778|125783
5035 Mozart Dr,125785,125778,1|102168|125778|125785
5037 Mozart Dr,125786,125778,1|102168|125778|125786
5039 Mozart Dr,125787,125778,1|102168|125778|125787
5041 Mozart Dr,125788,125778,1|102168|125778|125788
5043 Mozart Dr,125789,125778,1|102168|125778|125789
5045 Mozart Dr,125790,125778,1|102168|125778|125790
5049 Mozart Dr,125792,125778,1|102168|125778|125792
5053 Mozart Dr,125794,125778,1|102168|125778|125794
5057 Mozart Dr,125796,125778,1|102168|125778|125796
5059 Mozart Dr,125797,125778,1|102168|125778|125797
5061 Mozart Dr,125798,125778,1|102168|125778|125798
5063 Mozart Dr,125799,125778,1|102168|125778|125799
5069 Mozart Dr,125802,125778,1|102168|125778|125802
5073 Mozart Dr,125804,125778,1|102168|125778|125804
5077 Mozart Dr,125806,125778,1|102168|125778|125806
5081 Mozart Dr,125808,125778,1|102168|125778|125808
5091 Mozart Dr,125813,125778,1|102168|125778|125813
5095 Mozart Dr,125815,125778,1|102168|125778|125815
5097 Mozart Dr,125816,125778,1|102168|125778|125816
5099 Mozart Dr,125817,125778,1|102168|125778|125817
5103 Mozart Dr,125819,125778,1|102168|125778|125819
5115 Mozart Dr,125825,125778,1|102168|125778|125825
5119 Mozart Dr,125827,125778,1|102168|125778|125827
1655 Bloomfield Ln  1,125889,125828,1|102168|125828|125889
1655 Bloomfield Ln  6,125894,125828,1|102168|125828|125894
1655 Bloomfield Ln    7,125895,125828,1|102168|125828|125895
1655 Bloomfield Ln    8,125896,125828,1|102168|125828|125896
1655 Bloomfield Ln  10,125898,125828,1|102168|125828|125898
1655 Bloomfield Ln  15,125903,125828,1|102168|125828|125903
2180 Cal St  202,125918,125877,1|102168|125877|125918
2180 Cal St  203,125919,125877,1|102168|125877|125919
2180 Cal St  204,125920,125877,1|102168|125877|125920
2812 Grant St  A,125911,125887,1|102168|125887|125911
2812 Grant St  C,125913,125887,1|102168|125887|125913
2812 Grant St  F,125916,125887,1|102168|125887|125916
38 Village Pl,103382,125923,1|102168|125923|103382
68 Copper Meadows,103384,125923,1|102168|125923|103384
10 Copper Meadows,103385,125923,1|102168|125923|103385
504 1st St,103386,125923,1|102168|125923|103386
136 Trent Pl,103389,125923,1|102168|125923|103389
309 Hamilin Loop,103392,125923,1|102168|125923|103392
24 Ashford Way,103396,125923,1|102168|125923|103396
Meadow Creek,107926,130767,1|102168|130767|107926
Butterfield Station,130890,130767,1|102168|130767|130890
641 First St,139951,139950,1|102168|139950|139951
637 First St,139952,139950,1|102168|139950|139952
633 John St,139953,139950,1|102168|139950|139953
629 First St,139954,139950,1|102168|139950|139954
100 John St,139955,139950,1|102168|139950|139955
104 John St,139956,139950,1|102168|139950|139956
108 John St,139957,139950,1|102168|139950|139957
112 John St,139958,139950,1|102168|139950|139958
116 John St,139959,139950,1|102168|139950|139959
120 John St,139960,139950,1|102168|139950|139960
152 John St,139961,139950,1|102168|139950|139961
136 John St,139962,139950,1|102168|139950|139962
144 John St,139963,139950,1|102168|139950|139963
Lakeshore on the Hill Apartments,102216,102215,1|102215|102216
Trails of Signal Mountain Apartments,102218,102215,1|102215|102218
The Park at Fox Trails,102223,102215,1|102215|102223
Arbors at River Oaks,102225,102215,1|102215|102225
Pointe at Canyon Ridge,103255,102215,1|102215|103255
Westmont Commons Apartments,106407,102215,1|102215|106407
Millenia 700,106408,102215,1|102215|106408
Bridge Pointe,109177,102215,1|102215|109177
TS Creekstone LLC,112467,102215,1|102215|112467
St James at Goose Creek,112691,102215,1|102215|112691
Talison Row,117699,102215,1|102215|117699
Fountains at Southend,118206,102215,1|102215|118206
TS Miller Creek LLC,122250,102215,1|102215|122250
The Estates at Wake Forest,125187,102215,1|102215|125187
The Aventine Greenville,127112,102215,1|102215|127112
Avenues at Craig Ranch,128057,102215,1|102215|128057
Waterstone at Brier Creek,128060,102215,1|102215|128060
Waterstone at Big Creek,129455,102215,1|102215|129455
MEADOWS AT AUTUMN RIDGE 396,102380,102230,1|102230|102380
BRENTWOOD CONDOMINIUM ASSOC 381,102381,102230,1|102230|102381
BRITTANY COURT HOMES ASSOC 395,102382,102230,1|102230|102382
BROWNSTONES ON BROADWAY 385,102383,102230,1|102230|102383
CAMDEN WOODS HOMES ASSOC 327,102384,102230,1|102230|102384
THE VILLAGE AT CAMDEN WOODS 326,102385,102230,1|102230|102385
CHARLESTON COURT HOMES ASSOC 234,102386,102230,1|102230|102386
COLCHESTER COURT HOMES ASSOC 380,102387,102230,1|102230|102387
CORINTH PLACE VILLAS ASSOC 315,102392,102230,1|102230|102392
THE CROSSINGS 313,102393,102230,1|102230|102393
CW APTS LLC  104,102394,102230,1|102230|102394
FAIRWAY WOODS HOMES ASSOC 310,102395,102230,1|102230|102395
FAIRWAY WOODS VILLAS NORTH 328,102396,102230,1|102230|102396
VILLAS OF FAIRWAY WOODS 309,102397,102230,1|102230|102397
FALCON RIDGE HOMES ASSOC  324,102398,102230,1|102230|102398
FALCON VALLEY HOMES ASSOC 366,102399,102230,1|102230|102399
FALCON RIDGE VILLAS 334,102400,102230,1|102230|102400
VILLAS OF FOREST CREEK 306,102401,102230,1|102230|102401
HALLBROOK 300,102402,102230,1|102230|102402
HALLBROOK VILLAS PHASE II 305,102403,102230,1|102230|102403
HILLS OF FOREST CREEK 397,102404,102230,1|102230|102404
HUNTINGTON FARMS COMMUNITY 353,102405,102230,1|102230|102405
KINGS GATE 367,102406,102230,1|102230|102406
THE VALLEY AT KINSLEY FOREST 371,102407,102230,1|102230|102407
LOCH LLOYD HOME ASSOC 342,102408,102230,1|102230|102408
NORMANDIE COURT 349,102409,102230,1|102230|102409
ROCKHILL CONDOMINIUM OWNERS 393,102411,102230,1|102230|102411
SOUTHDALE HOMES ASSOC 365,102412,102230,1|102230|102412
STRATFORD PLACE HOMES ASSOC 264,102413,102230,1|102230|102413
TIMBER TRACE HOMES ASSOC 345,102414,102230,1|102230|102414
TIMBER TRACE MAINT PROVIDED 346,102415,102230,1|102230|102415
VILLAS OF LEAWOOD 383,102416,102230,1|102230|102416
BEL COURT 355,102417,102230,1|102230|102417
WOODSTONE 308,102422,102230,1|102230|102422
CARLTON PLAZA 111,102423,102230,1|102230|102423
Corinth Downs,103734,102230,1|102230|103734
Corinth Downs Lemans 288,102391,103734,1|102230|103734|102391
CCVI,103735,102230,1|102230|103735
Cedar Creek Cedar Glen I 523,102425,103735,1|102230|103735|102425
Cedar Creek Cedar Ridge 524,102426,103735,1|102230|103735|102426
Cedar Creek Cottage of Glenview 525,102427,103735,1|102230|103735|102427
Cedar Creek Estates of Shadow Lake 529,102429,103735,1|102230|103735|102429
Cedar Creek North Shore Estates 534,102433,103735,1|102230|103735|102433
Cedar Creek Shadow Highlands 535,102434,103735,1|102230|103735|102434
